Place_Name,Road_Type,Day_Type,Weather,Morning_Traffic,Afternoon_Traffic,Evening_Traffic,Night_Traffic,Peak_Hour,Two_Wheelers,Cars,Auto_Rickshaws,Buses,Trucks,Avg_Speed_kmph,Signal_Delay_sec,Accident_Count,Noise_Level_dB,Air_Quality_Index,CO2_Emission_gkm,Fuel_Consumption_L,Road_Width_m,Lane_Count,Visibility_m,Comments
Paramathi Rd,city road,Weekend,Foggy,800,1114,8775,1188,No,3584,5956,59,18,2744,81.2,33,0,92.0,193,477.7,72.93,12.3,4,1033,
Tiruchengode Road,City,Weekend,Rainy,7893,1244,9646,2186,No,4223,1774,8,536,935,1.9,245,0,97.5,154,632.9,-1.87,9.0,2,1481,Heavy traffic
Paramathi Rd,,Weekend,Rainy,751,4328,3324,1290,Y,1232,6725,3576,683,814,44.9,265,6,96.5,329,106.6,14.65,6.0,7,873,Heavy traffic
Namakkal Town,NH,,Clear,2368,4365,4694,797,N,5174,305,-90,271,542,36.1,474,4,105.2,289,261.0,9.35,6.5,7,1656,
Paramathi Rd,,,Sunny,1507,5059,4255,2156,Y,901,6687,2981,506,1844,38.4,327,6,92.9,400,309.9,52.0,16.7,5,1712,
Namakkal Town,city road,Weekday,Foggy,5005,6890,5473,2228,,5481,5840,154,195,2302,27.7,397,-1,54.2,102,481.7,39.05,9.5,2,700,
Salem road,SH,,Rainy,5947,2073,9331,953,,236,1098,1658,656,138,82.6,479,0,73.6,130,275.3,75.48,3.3,6,912,
Rasipuram Rd,City,,Clear,2033,2678,476,2072,Y,5566,1168,2355,899,2020,10.8,414,4,51.4,24,119.2,27.22,4.7,3,609,Heavy traffic
,city road,,Sunny,2213,7976,11565,3083,Yes,7038,5332,3902,542,2264,22.5,116,-1,65.2,298,394.0,78.24,15.4,3,261,Signal issue
Rasipuram Rd,Rural,Weekday,Clear,5970,4728,6889,3450,N,863,5933,2527,540,2636,88.0,109,6,59.3,442,559.0,23.41,13.5,3,1420,Signal issue
Paramathi Rd,,,Foggy,2425,1998,2878,675,Yes,7516,5120,1493,326,1739,-2.4,413,-2,82.8,108,309.5,27.79,17.7,5,756,
Tiruchengode Road,Rural,,Foggy,395,2321,11665,1763,,8221,2719,3630,338,2539,68.1,400,3,64.7,244,91.3,25.19,14.5,1,1985,Signal issue
Paramathi Rd,City,Weekend,Foggy,7735,1442,6974,1670,,7842,6003,2323,123,3286,42.9,298,5,106.8,90,587.5,-3.4,9.6,2,1750,
Paramathi Rd,SH,Weekday,Foggy,3880,8176,8891,3990,N,5727,1431,2666,62,1607,9.3,119,6,105.4,419,132.7,21.1,5.2,5,1450,Accident zone
Namakkal Town,city road,,Rainy,3973,7955,498,430,No,1482,3113,182,800,3219,46.6,417,6,83.4,386,212.0,25.27,3.9,1,814,Heavy traffic
,city road,Weekend,Foggy,5435,4514,5084,474,N,4047,4416,3678,-6,2994,72.9,289,-2,52.7,232,606.6,58.02,18.7,1,407,Signal issue
Tiruchengode Road,City,Weekend,Foggy,633,4094,4561,1046,N,2009,1750,1007,746,2980,53.1,128,1,44.4,498,380.9,-0.34,16.2,4,1542,Signal issue
Tiruchengode Road,SH,,,7025,7459,11104,3900,No,5674,-156,3060,80,1131,38.8,359,4,71.8,25,403.5,11.67,15.4,3,967,
Rasipuram Rd,Rural,Weekend,,1106,1413,2331,855,No,5223,4547,753,516,1807,63.5,212,8,98.5,474,465.2,33.6,11.3,0,1414,
Salem road,NH,,Foggy,3886,6938,10532,3095,,3240,6549,2240,422,1534,41.8,46,9,72.3,298,428.1,14.4,17.7,1,887,Accident zone
Namakkal Town,city road,Weekend,Rainy,6230,7044,10662,2194,,936,3491,312,181,3093,66.9,75,0,87.0,98,420.4,7.19,16.7,6,1811,Signal issue
Rasipuram Rd,NH,Weekend,Clear,5003,7556,9345,2429,,2747,5184,1320,645,953,3.8,291,-2,119.7,148,489.7,18.13,8.3,6,853,Accident zone
Namakkal Town,NH,weekday,Sunny,958,3622,3577,3240,No,1369,1120,-23,231,332,51.5,156,8,77.2,448,206.4,25.23,13.5,3,541,Signal issue
Namakkal Town,NH,weekday,,3201,8993,4318,3983,N,789,5702,3110,67,1199,88.0,57,-1,68.4,333,376.3,18.76,8.4,1,993,
Rasipuram Rd,,weekday,Rainy,1776,1788,10596,762,No,763,3230,3922,109,293,-5.6,287,6,72.0,188,360.1,17.19,5.1,5,304,Heavy traffic
Paramathi Rd,,Weekend,Clear,5053,1967,8014,3761,No,199,978,631,477,1234,35.3,494,-2,69.4,268,584.1,66.55,19.4,6,295,Signal issue
Tiruchengode Road,city road,,Rainy,2627,645,10246,360,,2750,1691,3731,183,1812,75.7,336,0,96.6,302,584.4,65.28,5.9,0,510,Accident zone
Salem road,SH,Weekend,Sunny,6915,-17,4138,3455,Yes,292,2380,1631,475,2904,36.9,319,-1,85.7,219,569.1,37.07,8.9,0,309,Signal issue
Tiruchengode Road,Rural,Weekend,Sunny,2245,3829,9542,59,No,3944,956,173,623,1786,52.5,304,4,109.6,196,176.1,3.71,18.0,7,177,Heavy traffic
,NH,Weekend,,3364,6257,767,520,N,-48,3917,1411,756,1637,-0.9,-29,2,107.5,392,649.6,73.0,18.0,3,815,
Rasipuram Rd,Rural,weekday,Rainy,4717,5387,7680,525,,8444,1216,2770,526,1164,68.6,373,1,95.1,381,426.3,4.53,17.5,2,1107,Accident zone
Rasipuram Rd,,,Sunny,842,5817,7110,2933,,8356,4745,3720,700,1831,45.1,217,8,109.1,292,137.3,1.51,9.9,5,1459,
Paramathi Rd,NH,Weekday,,3332,3696,4555,2634,Y,2237,5441,993,4,2462,85.1,431,7,72.3,470,261.4,60.28,16.9,6,864,
